event_id,customer_id,asset_id,event_type,gross_amount,fee_amount,net_amount,event_timestamp,period_date,settlement_date,status,source_system,product_line,metadata_json,created_at
FE000924,CUST020,ASSET_SOL,staking_fee_charge,17.72646235,1.77264623,15.95381612,2025-04-23 16:03:47,2025-04-01,2025-04-30,settled,billing_system,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_289923"", ""custodian_ref"": ""CREF_403012""}",2025-04-23 16:03:47
FE000075,CUST002,ASSET_USDC,stablecoin_transfer_in,764330.26,382.16513,763948.09487,2025-01-05 21:50:16,2025-01-01,2025-01-02,settled,custody_platform,stablecoin,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_911367"", ""custodian_ref"": ""CREF_571494""}",2025-01-05 21:50:16
FE000652,CUST015,ASSET_ATOM,staking_fee_charge,20.41346722,2.04134672,18.3721205,2025-05-01 17:19:06,2025-05-01,2025-05-28,settled,billing_system,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_510882"", ""custodian_ref"": ""CREF_248491""}",2025-05-01 17:19:06
FE000546,CUST013,ASSET_MATIC,staking_reward_earned,147.66060794,14.76606079,132.89454715,2025-01-01 03:26:51,2025-01-01,2025-02-01,settled,protocol_oracle,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_468996"", ""custodian_ref"": ""CREF_209743""}",2025-01-01 03:26:51
FE000429,CUST011,ASSET_USDT,custody_fee_charge,748.97119884,14.97942398,733.99177486,2024-11-26 20:01:33,2024-11-01,2024-11-04,settled,billing_system,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_664991"", ""custodian_ref"": ""CREF_163528""}",2024-11-26 20:01:33
FE000723,CUST016,ASSET_ETH,custody_deposit,97.42538319,0.09742538,97.32795781,2025-01-20 20:43:21,2025-01-01,2025-01-02,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_771740"", ""custodian_ref"": ""CREF_169486""}",2025-01-20 20:43:21
FE000908,CUST020,ASSET_USDC,custody_deposit,603.75435156,0.60375435,603.15059721,2024-12-21 03:54:04,2024-12-01,2024-12-03,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_647959"", ""custodian_ref"": ""CREF_209521""}",2024-12-21 03:54:04
FE000868,CUST019,ASSET_ETH,custody_withdrawal,38.57909062,0.03857909,38.54051153,2025-02-07 19:00:53,2025-02-01,2025-02-03,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_719334"", ""custodian_ref"": ""CREF_200780""}",2025-02-07 19:00:53
FE000771,CUST017,ASSET_ETH,custody_withdrawal,1.13403307,0.00113403,1.13289904,2024-08-05 23:51:26,2024-08-01,2024-08-02,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_236132"", ""custodian_ref"": ""CREF_417767""}",2024-08-05 23:51:26
FE000210,CUST006,ASSET_MATIC,custody_deposit,226.03902262,0.22603902,225.8129836,2024-09-07 17:13:25,2024-09-01,2024-09-04,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_407108"", ""custodian_ref"": ""CREF_610906""}",2024-09-07 17:13:25
FE000324,CUST009,ASSET_USDT,stablecoin_transfer_in,4773846.62,2386.92331,4771459.69669,2025-06-23 23:56:06,2025-06-01,2025-06-03,settled,custody_platform,stablecoin,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_278814"", ""custodian_ref"": ""CREF_321385""}",2025-06-23 23:56:06
FE000899,CUST020,ASSET_ATOM,custody_deposit,716.40065947,0.71640066,715.68425881,2024-11-08 08:41:29,2024-11-01,2024-11-04,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_422326"", ""custodian_ref"": ""CREF_758037""}",2024-11-08 08:41:29
FE000018,CUST001,ASSET_SOL,custody_deposit,13.59654148,0.01359654,13.58294494,2025-02-13 23:03:49,2025-02-01,2025-02-04,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_406377"", ""custodian_ref"": ""CREF_992549""}",2025-02-13 23:03:49
FE000269,CUST007,ASSET_ETH,custody_deposit,19.37530351,0.0193753,19.35592821,2024-07-04 11:43:26,2024-07-01,2024-07-02,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_708893"", ""custodian_ref"": ""CREF_540951""}",2024-07-04 11:43:26
FE000856,CUST019,ASSET_USDT,stablecoin_transfer_out,3577981.6,1788.9908,3576192.6092,2025-03-10 12:54:39,2025-03-01,2025-03-02,settled,custody_platform,stablecoin,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_520598"", ""custodian_ref"": ""CREF_641111""}",2025-03-10 12:54:39
FE000808,CUST018,ASSET_ETH,staking_fee_charge,25.28310724,2.52831072,22.75479652,2025-05-02 14:18:13,2025-05-01,2025-06-01,settled,billing_system,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_709237"", ""custodian_ref"": ""CREF_121883""}",2025-05-02 14:18:13
FE000434,CUST011,ASSET_SOL,staking_reward_earned,59.63724401,5.9637244,53.67351961,2025-01-26 14:25:26,2025-01-01,2025-02-02,settled,protocol_oracle,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_873008"", ""custodian_ref"": ""CREF_209861""}",2025-01-26 14:25:26
FE000155,CUST004,ASSET_ADA,custody_deposit,768.01099147,0.76801099,767.24298048,2024-08-20 07:51:15,2024-08-01,2024-08-02,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_474147"", ""custodian_ref"": ""CREF_250700""}",2024-08-20 07:51:15
FE000552,CUST013,ASSET_USDC,stablecoin_transfer_out,1761664.02,880.83201,1760783.18799,2025-06-11 07:32:57,2025-06-01,2025-06-02,settled,custody_platform,stablecoin,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_783510"", ""custodian_ref"": ""CREF_156001""}",2025-06-11 07:32:57
FE000638,CUST015,ASSET_ATOM,custody_withdrawal,318.1478669,0.31814787,317.82971903,2025-03-01 13:13:01,2025-03-01,2025-03-02,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_998666"", ""custodian_ref"": ""CREF_374425""}",2025-03-01 13:13:01
FE000946,CUST020,ASSET_MATIC,custody_withdrawal,382.41971251,0.38241971,382.0372928,2025-01-11 18:05:48,2025-01-01,2025-01-02,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_804281"", ""custodian_ref"": ""CREF_935683""}",2025-01-11 18:05:48
FE000587,CUST014,ASSET_DOT,staking_reward_settled,907.87727412,90.78772741,817.08954671,2025-03-18 18:56:05,2025-03-01,2025-03-31,settled,protocol_oracle,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_837487"", ""custodian_ref"": ""CREF_756380""}",2025-03-18 18:56:05
FE000514,CUST012,ASSET_AVAX,staking_reward_earned,315.47652434,31.54765243,283.92887191,2025-04-05 10:42:43,2025-04-01,2025-05-03,settled,protocol_oracle,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_676636"", ""custodian_ref"": ""CREF_698329""}",2025-04-05 10:42:43
FE000277,CUST008,ASSET_ATOM,custody_deposit,704.82204079,0.70482204,704.11721875,2024-09-16 03:03:25,2024-09-01,2024-09-04,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_534334"", ""custodian_ref"": ""CREF_442395""}",2024-09-16 03:03:25
FE000186,CUST005,ASSET_ADA,custody_deposit,18.20051471,0.01820051,18.1823142,2025-02-20 07:45:11,2025-02-01,2025-02-04,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_823240"", ""custodian_ref"": ""CREF_254733""}",2025-02-20 07:45:11
FE000419,CUST011,ASSET_DOT,custody_deposit,956.89739456,0.95689739,955.94049717,2024-08-02 02:57:20,2024-08-01,2024-08-03,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_882615"", ""custodian_ref"": ""CREF_354199""}",2024-08-02 02:57:20
FE000428,CUST011,ASSET_MATIC,custody_deposit,271.56091512,0.27156092,271.2893542,2024-11-03 09:57:17,2024-11-01,2024-11-03,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_882866"", ""custodian_ref"": ""CREF_244073""}",2024-11-03 09:57:17
FE000576,CUST014,ASSET_AVAX,custody_fee_charge,469.62213384,9.39244268,460.22969116,2025-04-09 06:29:22,2025-04-01,2025-04-02,settled,billing_system,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_751921"", ""custodian_ref"": ""CREF_522857""}",2025-04-09 06:29:22
FE000293,CUST008,ASSET_SOL,custody_withdrawal,87.86558422,0.08786558,87.77771864,2024-10-11 09:42:25,2024-10-01,2024-10-04,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_557701"", ""custodian_ref"": ""CREF_251512""}",2024-10-11 09:42:25
FE000497,CUST012,ASSET_USDC,stablecoin_transfer_out,2253419.26,1126.70963,2252292.55037,2024-08-12 20:55:39,2024-08-01,2024-08-01,settled,custody_platform,stablecoin,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_600792"", ""custodian_ref"": ""CREF_528345""}",2024-08-12 20:55:39
FE000142,CUST004,ASSET_ADA,staking_fee_charge,218.49436244,21.84943624,196.6449262,2024-07-02 20:25:12,2024-07-01,2024-07-28,settled,billing_system,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_509016"", ""custodian_ref"": ""CREF_252141""}",2024-07-02 20:25:12
FE000059,CUST002,ASSET_AVAX,custody_withdrawal,710.31916155,0.71031916,709.60884239,2024-08-02 21:52:11,2024-08-01,2024-08-03,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_511955"", ""custodian_ref"": ""CREF_167808""}",2024-08-02 21:52:11
FE000731,CUST016,ASSET_ETH,custody_withdrawal,81.22000235,0.08122,81.13878235,2025-03-20 10:50:37,2025-03-01,2025-03-02,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_682369"", ""custodian_ref"": ""CREF_673106""}",2025-03-20 10:50:37
FE000760,CUST017,ASSET_DOT,custody_withdrawal,693.00878903,0.69300879,692.31578024,2024-12-19 01:47:46,2024-12-01,2024-12-03,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_753497"", ""custodian_ref"": ""CREF_399161""}",2024-12-19 01:47:46
FE000862,CUST019,ASSET_DOT,custody_fee_charge,177.28405621,3.54568112,173.73837509,2024-12-09 11:08:18,2024-12-01,2024-12-02,settled,billing_system,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_966238"", ""custodian_ref"": ""CREF_942503""}",2024-12-09 11:08:18
FE000606,CUST014,ASSET_USDT,stablecoin_transfer_out,1636221.12,818.11056,1635403.00944,2024-12-06 17:00:31,2024-12-01,2024-12-04,settled,custody_platform,stablecoin,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_306861"", ""custodian_ref"": ""CREF_333508""}",2024-12-06 17:00:31
FE000495,CUST012,ASSET_USDC,stablecoin_transfer_out,1425689.56,712.84478,1424976.71522,2024-08-04 15:42:21,2024-08-01,2024-08-02,settled,custody_platform,stablecoin,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_506530"", ""custodian_ref"": ""CREF_244205""}",2024-08-04 15:42:21
FE000544,CUST013,ASSET_MATIC,staking_reward_settled,834.49943766,83.44994377,751.04949389,2025-01-19 03:51:33,2025-01-01,2025-01-31,settled,protocol_oracle,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_415140"", ""custodian_ref"": ""CREF_479530""}",2025-01-19 03:51:33
FE000141,CUST004,ASSET_ADA,custody_fee_charge,580.51421981,11.6102844,568.90393541,2024-07-19 10:04:40,2024-07-01,2024-07-01,settled,billing_system,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_734551"", ""custodian_ref"": ""CREF_977489""}",2024-07-19 10:04:40
FE000100,CUST003,ASSET_ADA,custody_deposit,861.0327839,0.86103278,860.17175112,2024-12-03 21:01:26,2024-12-01,2024-12-04,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_236256"", ""custodian_ref"": ""CREF_691426""}",2024-12-03 21:01:26
FE000405,CUST010,ASSET_USDT,stablecoin_transfer_out,4304466.72,2152.23336,4302314.48664,2024-09-26 05:54:33,2024-09-01,2024-09-01,settled,custody_platform,stablecoin,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_557388"", ""custodian_ref"": ""CREF_563935""}",2024-09-26 05:54:33
FE000950,CUST020,ASSET_AVAX,staking_reward_earned,595.02579483,59.50257948,535.52321535,2025-01-10 07:01:09,2025-01-01,2025-01-29,settled,protocol_oracle,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_342683"", ""custodian_ref"": ""CREF_824929""}",2025-01-10 07:01:09
FE000780,CUST017,ASSET_ADA,staking_reward_earned,814.35828855,81.43582886,732.92245969,2024-09-27 18:47:54,2024-09-01,2024-10-03,settled,protocol_oracle,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_306934"", ""custodian_ref"": ""CREF_943398""}",2024-09-27 18:47:54
FE000090,CUST002,ASSET_USDC,custody_withdrawal,23.67688958,0.02367689,23.65321269,2024-10-28 01:19:15,2024-10-01,2024-10-03,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_625661"", ""custodian_ref"": ""CREF_697488""}",2024-10-28 01:19:15
FE000369,CUST010,ASSET_AVAX,custody_fee_charge,889.1813213,17.78362643,871.39769487,2025-03-13 10:54:48,2025-03-01,2025-03-03,settled,billing_system,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_670860"", ""custodian_ref"": ""CREF_367458""}",2025-03-13 10:54:48
FE000477,CUST012,ASSET_USDT,stablecoin_transfer_in,2580335.34,1290.16767,2579045.17233,2024-07-02 15:41:09,2024-07-01,2024-07-04,settled,custody_platform,stablecoin,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_507579"", ""custodian_ref"": ""CREF_144904""}",2024-07-02 15:41:09
FE000639,CUST015,ASSET_USDT,custody_withdrawal,344.72563568,0.34472564,344.38091004,2025-03-06 12:05:35,2025-03-01,2025-03-04,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_693943"", ""custodian_ref"": ""CREF_207921""}",2025-03-06 12:05:35
FE000910,CUST020,ASSET_MATIC,custody_fee_charge,178.98620282,3.57972406,175.40647876,2024-12-22 06:15:56,2024-12-01,2024-12-01,settled,billing_system,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_779148"", ""custodian_ref"": ""CREF_259131""}",2024-12-22 06:15:56
FE000216,CUST006,ASSET_USDT,stablecoin_transfer_out,1061676.22,530.83811,1061145.38189,2025-05-27 00:37:32,2025-05-01,2025-05-04,settled,custody_platform,stablecoin,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_221326"", ""custodian_ref"": ""CREF_517333""}",2025-05-27 00:37:32
FE000860,CUST019,ASSET_USDT,stablecoin_transfer_out,1568892.11,784.446055,1568107.663945,2025-03-17 09:07:14,2025-03-01,2025-03-04,settled,custody_platform,stablecoin,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_672128"", ""custodian_ref"": ""CREF_798865""}",2025-03-17 09:07:14
FE000157,CUST004,ASSET_ATOM,staking_reward_earned,664.5245562,66.45245562,598.07210058,2024-08-16 08:26:17,2024-08-01,2024-09-02,settled,protocol_oracle,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_808720"", ""custodian_ref"": ""CREF_477420""}",2024-08-16 08:26:17
FE000615,CUST014,ASSET_USDT,stablecoin_transfer_out,4257407.9,2128.70395,4255279.19605,2024-11-07 23:31:05,2024-11-01,2024-11-04,settled,custody_platform,stablecoin,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_347851"", ""custodian_ref"": ""CREF_560933""}",2024-11-07 23:31:05
FE000611,CUST014,ASSET_ATOM,staking_fee_charge,951.79428161,95.17942816,856.61485345,2025-01-07 12:01:33,2025-01-01,2025-02-02,settled,billing_system,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_163425"", ""custodian_ref"": ""CREF_485026""}",2025-01-07 12:01:33
FE000727,CUST016,ASSET_DOT,staking_fee_charge,482.37039199,48.2370392,434.13335279,2025-02-23 15:56:33,2025-02-01,2025-03-03,settled,billing_system,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_479785"", ""custodian_ref"": ""CREF_690199""}",2025-02-23 15:56:33
FE000243,CUST006,ASSET_ETH,staking_reward_settled,19.21982461,1.92198246,17.29784215,2025-04-04 22:45:49,2025-04-01,2025-05-01,settled,protocol_oracle,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_316418"", ""custodian_ref"": ""CREF_212515""}",2025-04-04 22:45:49
FE000532,CUST013,ASSET_ATOM,custody_fee_charge,265.23460401,5.30469208,259.92991193,2024-11-13 11:07:41,2024-11-01,2024-11-03,settled,billing_system,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_254546"", ""custodian_ref"": ""CREF_908014""}",2024-11-13 11:07:41
FE000055,CUST002,ASSET_USDT,stablecoin_transfer_in,686112.09,343.056045,685769.033955,2025-03-28 14:02:09,2025-03-01,2025-03-02,settled,custody_platform,stablecoin,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_874103"", ""custodian_ref"": ""CREF_464632""}",2025-03-28 14:02:09
FE000442,CUST011,ASSET_USDT,custody_withdrawal,687.28707286,0.68728707,686.59978579,2025-04-12 18:37:51,2025-04-01,2025-04-01,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_380604"", ""custodian_ref"": ""CREF_947389""}",2025-04-12 18:37:51
FE000513,CUST012,ASSET_USDC,custody_fee_charge,131.1627533,2.62325507,128.53949823,2025-04-24 09:55:48,2025-04-01,2025-04-04,settled,billing_system,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_782430"", ""custodian_ref"": ""CREF_824441""}",2025-04-24 09:55:48
FE000430,CUST011,ASSET_ETH,staking_fee_charge,32.90777476,3.29077748,29.61699728,2024-11-08 14:42:32,2024-11-01,2024-11-28,settled,billing_system,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_789885"", ""custodian_ref"": ""CREF_535212""}",2024-11-08 14:42:32
FE000705,CUST016,ASSET_SOL,custody_deposit,34.00235118,0.03400235,33.96834883,2024-09-01 20:33:50,2024-09-01,2024-09-02,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_874305"", ""custodian_ref"": ""CREF_341022""}",2024-09-01 20:33:50
FE000506,CUST012,ASSET_USDC,stablecoin_transfer_in,311373.9,155.68695,311218.21305,2024-09-13 11:31:17,2024-09-01,2024-09-03,settled,custody_platform,stablecoin,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_772582"", ""custodian_ref"": ""CREF_681583""}",2024-09-13 11:31:17
FE000252,CUST007,ASSET_BTC,custody_withdrawal,7.76572966,0.00776573,7.75796393,2025-05-02 13:08:04,2025-05-01,2025-05-03,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_163276"", ""custodian_ref"": ""CREF_655080""}",2025-05-02 13:08:04
FE000703,CUST016,ASSET_USDT,stablecoin_transfer_out,4174148.8,2087.0744,4172061.7256,2024-09-09 18:12:44,2024-09-01,2024-09-01,settled,custody_platform,stablecoin,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_198239"", ""custodian_ref"": ""CREF_641358""}",2024-09-09 18:12:44
FE000026,CUST001,ASSET_ATOM,staking_fee_charge,367.32824818,36.73282482,330.59542336,2025-04-23 12:02:33,2025-04-01,2025-05-03,settled,billing_system,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_785206"", ""custodian_ref"": ""CREF_663398""}",2025-04-23 12:02:33
FE000346,CUST009,ASSET_ADA,custody_fee_charge,244.59059516,4.8918119,239.69878326,2025-05-26 10:03:49,2025-05-01,2025-05-03,settled,billing_system,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_545224"", ""custodian_ref"": ""CREF_444431""}",2025-05-26 10:03:49
FE000207,CUST005,ASSET_ADA,custody_withdrawal,343.93310984,0.34393311,343.58917673,2024-11-21 12:27:05,2024-11-01,2024-11-03,settled,custody_platform,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_342176"", ""custodian_ref"": ""CREF_779376""}",2024-11-21 12:27:05
FE000335,CUST009,ASSET_ATOM,staking_reward_settled,723.81953538,72.38195354,651.43758184,2024-10-04 16:01:42,2024-10-01,2024-11-02,settled,protocol_oracle,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_682385"", ""custodian_ref"": ""CREF_950526""}",2024-10-04 16:01:42
FE000063,CUST002,ASSET_USDC,custody_fee_charge,335.60510025,6.71210201,328.89299824,2024-08-17 23:27:58,2024-08-01,2024-08-02,settled,billing_system,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_176838"", ""custodian_ref"": ""CREF_589015""}",2024-08-17 23:27:58
FE000257,CUST007,ASSET_USDT,stablecoin_transfer_out,3774595.57,1887.297785,3772708.272215,2025-01-07 19:00:38,2025-01-01,2025-01-01,settled,custody_platform,stablecoin,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_262585"", ""custodian_ref"": ""CREF_127437""}",2025-01-07 19:00:38
FE000401,CUST010,ASSET_SOL,custody_fee_charge,5.46570757,0.10931415,5.35639342,2025-06-01 23:11:55,2025-06-01,2025-06-02,settled,billing_system,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_570341"", ""custodian_ref"": ""CREF_597966""}",2025-06-01 23:11:55
FE000566,CUST014,ASSET_ETH,staking_fee_charge,79.24807548,7.92480755,71.32326793,2024-10-05 07:15:03,2024-10-01,2024-11-02,settled,billing_system,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_741684"", ""custodian_ref"": ""CREF_921476""}",2024-10-05 07:15:03
FE000285,CUST008,ASSET_DOT,custody_fee_charge,573.79100439,11.47582009,562.3151843,2024-07-22 13:25:38,2024-07-01,2024-07-01,settled,billing_system,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_436777"", ""custodian_ref"": ""CREF_425336""}",2024-07-22 13:25:38
FE000593,CUST014,ASSET_ADA,staking_fee_charge,177.46288223,17.74628822,159.71659401,2025-05-02 07:03:12,2025-05-01,2025-05-28,settled,billing_system,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_187569"", ""custodian_ref"": ""CREF_483254""}",2025-05-02 07:03:12
FE000557,CUST013,ASSET_ATOM,staking_fee_charge,193.62240464,19.36224046,174.26016418,2025-02-10 20:19:16,2025-02-01,2025-02-28,settled,billing_system,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_785914"", ""custodian_ref"": ""CREF_738276""}",2025-02-10 20:19:16
FE000792,CUST017,ASSET_ATOM,custody_fee_charge,463.73541605,9.27470832,454.46070773,2025-05-20 02:32:55,2025-05-01,2025-05-03,settled,billing_system,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_870951"", ""custodian_ref"": ""CREF_432704""}",2025-05-20 02:32:55
FE000200,CUST005,ASSET_ADA,staking_reward_settled,426.14123564,42.61412356,383.52711208,2024-10-14 01:59:25,2024-10-01,2024-11-02,settled,protocol_oracle,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_597867"", ""custodian_ref"": ""CREF_604101""}",2024-10-14 01:59:25
FE000318,CUST009,ASSET_SOL,custody_fee_charge,34.30370941,0.68607419,33.61763522,2024-07-19 04:42:54,2024-07-01,2024-07-03,settled,billing_system,custody,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_932137"", ""custodian_ref"": ""CREF_446037""}",2024-07-19 04:42:54
FE000895,CUST020,ASSET_ATOM,staking_fee_charge,692.92651862,69.29265186,623.63386676,2024-11-21 14:57:08,2024-11-01,2024-12-01,settled,billing_system,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_423239"", ""custodian_ref"": ""CREF_828142""}",2024-11-21 14:57:08
FE000396,CUST010,ASSET_ETH,staking_reward_settled,54.28571794,5.42857179,48.85714615,2025-06-15 19:57:06,2025-06-01,2025-07-02,pending,protocol_oracle,staking,"{""product_version"": ""v2"", ""protocol_ref"": ""TX_375951"", ""custodian_ref"": ""CREF_555759""}",2025-06-15 19:57:06
